img21_patch_0   	 TEM_VASOS 
img21_patch_1   	 TEM_VASOS 
img21_patch_2   	 TEM_VASOS 
img21_patch_3   	 TEM_VASOS 
img21_patch_4   	 NAO_TEM_VASOS 
img21_patch_5   	 NAO_TEM_VASOS 
img21_patch_6   	 TEM_VASOS 
img21_patch_7   	 TEM_VASOS 
img21_patch_8   	 TEM_VASOS 
img21_patch_9   	 TEM_VASOS 
img21_patch_10   	 TEM_VASOS 
img21_patch_11   	 TEM_VASOS 
img21_patch_12   	 NAO_TEM_VASOS 
img21_patch_13   	 NAO_TEM_VASOS 
img21_patch_14   	 NAO_TEM_VASOS 
img21_patch_15   	 NAO_TEM_VASOS 
img21_patch_16   	 NAO_TEM_VASOS 
img21_patch_17   	 NAO_TEM_VASOS 
img21_patch_18   	 TEM_VASOS 
img21_patch_19   	 TEM_VASOS 
img21_patch_20   	 NAO_TEM_VASOS 
img21_patch_21   	 TEM_VASOS 
img21_patch_22   	 TEM_VASOS 
img21_patch_23   	 TEM_VASOS 
img21_patch_24   	 TEM_VASOS 
img21_patch_25   	 NAO_TEM_VASOS 
img21_patch_26   	 NAO_TEM_VASOS 
img21_patch_27   	 NAO_TEM_VASOS 
img21_patch_28   	 NAO_TEM_VASOS 
img21_patch_29   	 TEM_VASOS 
img21_patch_30   	 TEM_VASOS 
img21_patch_31   	 TEM_VASOS 
img21_patch_32   	 NAO_TEM_VASOS 
img21_patch_33   	 NAO_TEM_VASOS 
img21_patch_34   	 TEM_VASOS 
img21_patch_35   	 NAO_TEM_VASOS 
img21_patch_36   	 NAO_TEM_VASOS 
img21_patch_37   	 TEM_VASOS 
img21_patch_38   	 TEM_VASOS 
img21_patch_39   	 NAO_TEM_VASOS 
img21_patch_40   	 NAO_TEM_VASOS 
img21_patch_41   	 NAO_TEM_VASOS 
img21_patch_42   	 TEM_VASOS 
img21_patch_43   	 TEM_VASOS 
img21_patch_44   	 TEM_VASOS 
img21_patch_45   	 TEM_VASOS 
img21_patch_46   	 TEM_VASOS 
img21_patch_47   	 NAO_TEM_VASOS 
img21_patch_48   	 NAO_TEM_VASOS 
img21_patch_49   	 NAO_TEM_VASOS 
img21_patch_50   	 TEM_VASOS 
img21_patch_51   	 NAO_TEM_VASOS 
img21_patch_52   	 TEM_VASOS 
img21_patch_53   	 TEM_VASOS 
img21_patch_54   	 TEM_VASOS 
img21_patch_55   	 NAO_TEM_VASOS 
img21_patch_56   	 NAO_TEM_VASOS 
img21_patch_57   	 TEM_VASOS 
img21_patch_58   	 NAO_TEM_VASOS 
img21_patch_59   	 TEM_VASOS 
img21_patch_60   	 TEM_VASOS 
img21_patch_61   	 TEM_VASOS 
img21_patch_62   	 TEM_VASOS 
img21_patch_63   	 NAO_TEM_VASOS 
img21_patch_64   	 NAO_TEM_VASOS 
img21_patch_65   	 NAO_TEM_VASOS 
img21_patch_66   	 TEM_VASOS 
img21_patch_67   	 NAO_TEM_VASOS 
img21_patch_68   	 TEM_VASOS 
img21_patch_69   	 NAO_TEM_VASOS 
img21_patch_70   	 TEM_VASOS 
img21_patch_71   	 NAO_TEM_VASOS 
img21_patch_72   	 NAO_TEM_VASOS 
img21_patch_73   	 NAO_TEM_VASOS 
img21_patch_74   	 NAO_TEM_VASOS 
img21_patch_75   	 NAO_TEM_VASOS 
img21_patch_76   	 TEM_VASOS 
img21_patch_77   	 TEM_VASOS 
img21_patch_78   	 TEM_VASOS 
img21_patch_79   	 NAO_TEM_VASOS 
img21_patch_80   	 TEM_VASOS 
img21_patch_81   	 NAO_TEM_VASOS 
img21_patch_82   	 NAO_TEM_VASOS 
img21_patch_83   	 NAO_TEM_VASOS 
img21_patch_84   	 NAO_TEM_VASOS 
img21_patch_85   	 NAO_TEM_VASOS 
img21_patch_86   	 TEM_VASOS 
img21_patch_87   	 NAO_TEM_VASOS 
img21_patch_88   	 TEM_VASOS 
img21_patch_89   	 TEM_VASOS 
img21_patch_90   	 TEM_VASOS 
img21_patch_91   	 NAO_TEM_VASOS 
img21_patch_92   	 TEM_VASOS 
img21_patch_93   	 NAO_TEM_VASOS 
img21_patch_94   	 TEM_VASOS 
img21_patch_95   	 TEM_VASOS 
img21_patch_96   	 TEM_VASOS 
img21_patch_97   	 NAO_TEM_VASOS 
img21_patch_98   	 TEM_VASOS 
img21_patch_99   	 NAO_TEM_VASOS 
img21_patch_100   	 NAO_TEM_VASOS 
img21_patch_101   	 NAO_TEM_VASOS 
img21_patch_102   	 NAO_TEM_VASOS 
img21_patch_103   	 NAO_TEM_VASOS 
img21_patch_104   	 NAO_TEM_VASOS 
img21_patch_105   	 NAO_TEM_VASOS 
img21_patch_106   	 NAO_TEM_VASOS 
img21_patch_107   	 TEM_VASOS 
img21_patch_108   	 TEM_VASOS 
img21_patch_109   	 TEM_VASOS 
img21_patch_110   	 NAO_TEM_VASOS 
img21_patch_111   	 TEM_VASOS 
img21_patch_112   	 TEM_VASOS 
img21_patch_113   	 TEM_VASOS 
img21_patch_114   	 NAO_TEM_VASOS 
img21_patch_115   	 TEM_VASOS 
img21_patch_116   	 NAO_TEM_VASOS 
img21_patch_117   	 TEM_VASOS 
img21_patch_118   	 NAO_TEM_VASOS 
img21_patch_119   	 NAO_TEM_VASOS 
